#Python,PJ
import,{}モジュールを用いる
assert,{}なければならない
=,{1}を{0}とする
=A,{1}を{0}にする
=O,{1}を{0}として
=SWAP,{0}と{1}を入れ替える
=D,{1}を展開し、それぞれ{0}とする
=W,{0}を閉じ忘れなく{1}として、
del,{0}を削除する
class,{}は{}である
global,{0}はグローバル変数とする,let {0} be global 
nonlocal,{0}は非ローカル変数とする,let {0} be not local
if,{}とき、,if {}
if,{0}とき{1}、そうでなければ{2},{1} if {0}, otherwise {2}
elif,そうでなく、{}とき、,otherwise if {}
else,そうでなければ、,otherwise
pass,何もしない,do nothing
while,中断するまで、次を繰り返す
while,{}間、次を繰り返す
try,次は例外に関する条件がある
except,もし何らかの例外が発生したとき、
except,もし例外{}が発生したとき、
except,もし例外{}が発生したとき、その例外を{}として、
finally,例外が発生してもしなくても、
continue,最初からもう一度、繰り返す
break,繰り返しを中断する
for,{1}を順に{0}として、繰り返す
for,{2}の各要素を{1}とし、{0}の列
for,{2}の各要素を{1}とし、{3}ときの{0}の列
def,関数{0}を{1}定義する
return,何も返さない
return,{0}を返す
raise,{}エラーとなる
lambda,{0}{1}を返す関数
lambda,{0}を返す関数
,{},{}
-,-{},-{}
~,{}の補数
*,{}を展開して
+,{}に{}を加えた値
-,{}から{}を引いた値
*,{}に{}を掛けた値
/,{}を{}で割った値
//,{}を{}で割った商
%,{}を{}で割った余り
+M,{} + {}
-M,{} - {}
*M,{} × {}
/M,{} / {}
//M,{} / {}
%M,{} % {}
**,{}の{}乗
&,{}と{}の論理積
|,{}と{}の論理和
^,{}と{}の排他論理和
<<,{}を{}だけ左シフトした値
>>,{}を{}だけ右シフトした値
+=,{}を{}だけ増加させる
-=,{}を{}だけ減少させる
*=,{}を{}倍にする
**=,{}を{}乗する
/=,{}を{}分の一にする
//=,{}を{}分の一にする
%=,{}を{}で割った余りにする
|=,{0}を{1}との論理和にする
&=,{0}を{1}との論理積にする
^=,{0}を{1}との排他的論理和にする
<<=,{0}を{1}だけ左シフトする
>>=,{0}を{1}だけ右シフトする
==,{}が{}と等しいかどうか
is,{}が{}と等しくないかどうか
isnot,{}が{}と等しいかどうか
!=,{}が{}と等しくないかどうか
<,{}が{}より小さいかどうか
<=,{}が{}以下かどうか
>,{}が{}より大きいかどうか
>=,{}が{}以上かどうか
in,{}が{}に含まれるかどうか
notin,{}が{}に含まれないかどうか
and,{}かつ{}
or,{}または{}
not,{}
.,{}の{}
.x,{}のx座標
.y,{}のy座標
.z,{}のz座標
a*,{}の{}回分の列
a[0],{}の先頭,the first element of {}
a[-1],{}の末尾,the last element of {}
a[],{}の{}番目
a[:],{0}のコピーされた列
a[:-1],{0}の末尾を除いた部分列
a[1:],{0}の先頭を除いた部分列
a[::-1],{0}の逆順
a[::],{0}の{1}から{2}までの部分列
a[::],{0}の{1}から{2}までの{3}間隔による部分列
[:]C,{0}の先頭から末尾まで(のコピー)
[:-1]C,{0}の末尾を除いた部分
[::-1]C,{0}の逆順
[1:]C,{0}の先頭を除いた部分
[:],{0}の先頭{1}個を取り除いた部分
[::],{0}の先頭から位置{1}までの部分
[::],{0}の位置{1}から位置{2}までの部分
[::],{0}の位置{1}から{3}間隔で位置{2}までの部分
None,未定値,none
True,真,true
False,偽,false
'',空文字列
'\n',改行文字
'\t',タブ文字
' ',空白文字
[0]C,{}の最初値
[-1]C,{}の末尾値
[],空列
[],({})からなる列
[],{}({}),{}({})
(),({})の組
{},空辞書
{},({})からなる辞書
